2714280233,4293580888072512,1309302077,@
1289997621,4357324745950470,1289997621,@
3494982177,4364276095418914,3494982177,@
3725773862,4364720456361586,1197191492,@
2705119801,4364701745828751,2870450862,@
2705119801,4362887932004810,1192329374,@
2110705772,4365013830978506,2812335943,@
2110705772,4364982793153671,1717759773,@
2110705772,4364981623280495,1752502537,@
2110705772,4364980420028795,1705586121,@
2110705772,4364975100673472,3591355593,@
2110705772,4364969309078250,2110705772,@
2110705772,4364968080171878,1869580850,@
2110705772,4364964708240323,1192329374,@
2110705772,4364950791536602,1426725707,@
2110705772,4364950791536602,1192329374,@
2110705772,4364950137011645,1574684061,@
2110705772,4364943660832501,1192329374,@
2110705772,4364943178495334,1426725707,@
2110705772,4364943178495334,1192329374,@
2110705772,4364703130120963,1220926753,@
2110705772,4364699686520505,2870450862,@
2110705772,4364693416111217,1296241304,@
2110705772,4364671136036484,3591355593,@
2110705772,4364671136036484,1717759773,@
2110705772,4364671136036484,1752502537,@
2110705772,4364671136036484,1705586121,@
2110705772,4364635060599039,2706896955,@
2110705772,4364630627332259,2706896955,@
2110705772,4364626625802404,2706896955,@
2110705772,4364605461987099,1197191492,@
5117510254,4357414361464188,5117510254,@
5117510254,4356722011129139,5117510254,@
5291824241,4364608519001125,5813256522,@
5291824241,4364574863737306,1220926753,@
1730077315,4362194160295466,1642591402,@
1296241304,4354166971296330,1296241304,@
1296241304,4351202927676876,1296241304,@
1192329374,4344811987373681,1241148864,@
2909406375,4361813543818776,2609400635,@
6866528424,4364241412254526,2812335943,@
6866528424,4363888051154266,3591355593,@
6866528424,4362408480892729,2812335943,@
6866528424,4362112727899456,3623353053,@
6866528424,4361381229013942,2609400635,@
1642591402,4364979211874685,1730077315,@
1642591402,4364712449426122,1642591402,@
1642591402,4364601724416596,3623353053,@
1642591402,4364571450401637,1642591402,@
1642591402,4364571450401637,1642591402,@
1642591402,4364333993100863,1776448504,@
1642591402,4364333993100863,3591355593,@
1642591402,4364299260040190,1642591402,@
2870450862,4278768057246022,2609400635,@
2982152367,4362074987646507,5471534537,@
1893711543,4365040926364409,1705586121,@
1893711543,4363286222339985,1815418641,@
1893711543,4362824761383068,1197191492,@
1893711543,4362754602716622,1705586121,@
1893711543,4362734382240402,3591355593,@
1893711543,4362503372891724,1730077315,@
1822398137,4363965587255547,2478838621,@
1822398137,4363912172832352,3623353053,@
1822398137,4363615064317217,2478838621,@
1822398137,4362899537176783,2478838621,@
1887344341,4364901092737899,5044281310,@
1887344341,4364889134792936,5375583682,@
2481058012,4360315623971253,1309302077,@
3623353053,4358801123584302,3623353053,@
3623353053,4356603522535180,1804549454,@
3623353053,4330971484225354,1642591402,@
3623353053,4330971484225354,3623353053,@
3623353053,4325765829114264,1768198384,@
3623353053,4319663938737644,2110705772,@
3623353053,4316741515542550,1804549454,@
3623353053,4313557636664230,1804549454,@
3623353053,4313557636664230,2609400635,@
3623353053,4313557636664230,2812335943,@
3623353053,4313557636664230,3623353053,@
3623353053,4295698302755137,1768198384,@
3623353053,4295325248174497,1768198384,@
1659928803,4362755098131209,3591355593,@
1730726637,4201570901937477,1730726637,@
5209478895,4364701221321698,2870450862,@
5209478895,4363926764697275,3623353053,@
1768198384,4364903709689043,1768198384,@
5142840067,4361778127201836,1426725707,@
3197269764,4362484011731973,1705586121,@
3197269764,4361522099015106,3197269764,@
1752502537,4302030673467388,6087552304,@
1752502537,4302024382819243,1752502537,@
1752502537,4296967804750679,1705586121,@
1752502537,4279582213522173,1316224750,@
1752502537,4270867502136640,1752502537,@
1752502537,4270863119009460,1752502537,@
5042958097,4363838071337087,5042958097,@
5042958097,4364563224849517,5042958097,@
5042958097,4363875686181391,5042958097,@
1815418641,4299402182984669,2803301701,@
2392261910,4362858630016747,3591355593,@
2392261910,4362791013629078,3591355593,@
2392261910,4351863015467740,2812335943,@
1220926753,4300758650696797,1768198384,@
6004281123,4364903713887398,6004281123,@
1757353251,4357759195340950,1227328177,@
2766575417,4364900547314243,1195242865,@
2766575417,4364661152988925,2706896955,@
2766575417,4363890333228399,3591355593,@
2766575417,4363879507037366,1195242865,@
2766575417,4362932269737836,1195242865,@
2766575417,4362737260320514,3591355593,@
2766575417,4362565435400446,1195242865,@
6190532921,4358895474337852,2714280233,@
6190532921,4364523169617951,5186027114,@
2609400635,4316721060111860,1804549454,@
2609400635,4304038428035852,2812335943,@
2609400635,4290260672682730,1804549454,@
2609400635,4290260672682730,2609400635,@
2609400635,4290260672682730,2812335943,@
